RestaurantID,CountryCode,City,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Votes,Average_Cost_for_two,Rating,Restaurant_Name,Locality,Date,Year,Month,Month Name,Quarter,Week of Year,Day,Day of Week,Day Name,Financial Quarter,Financial Month
18435314,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,300,1,Punjabis Veg Grill,Geeta Colony,2013-09-21,2013,9,September,3,38,21,5,Saturday,FQ2,FM6
18378015,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,200,1,Tasty Tandoor,Geeta Colony,2016-09-10,2016,9,September,3,37,10,5,Saturday,FQ2,FM6
18424905,1,New Delhi,North Indian,Indian Rupees(Rs.),No,Yes,No,No,0,400,1,Taste of Spice,Lajpat Nagar 1,2018-09-25,2018,9,September,3,39,25,1,Tuesday,FQ2,FM6
18180072,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,100,1,Kolcata Bengali Dhaba,Mahipalpur,2018-09-06,2018,9,September,3,36,6,3,Thursday,FQ2,FM6
18415377,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,150,1,Sunil Punjabi Dhaba,Mahipalpur,2013-09-17,2013,9,September,3,38,17,1,Tuesday,FQ2,FM6
18421485,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,100,1,Bikaner Restaurant,Mukherjee Nagar,2018-09-03,2018,9,September,3,36,3,0,Monday,FQ2,FM6
312413,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,200,1,Just In,Mukherjee Nagar,2011-09-16,2011,9,September,3,38,16,4,Friday,FQ2,FM6
303497,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,150,1,Shri Shyam Ji Shudh Shakahari Bhojnalaya,Najafgarh,2014-09-21,2014,9,September,3,38,21,6,Sunday,FQ2,FM6
18354644,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,100,1,Shree Bhojnalaya,New Friends Colony,2012-09-09,2012,9,September,3,37,9,6,Sunday,FQ2,FM6
18366001,1,New Delhi,North Indian,Indian Rupees(Rs.),No,No,No,No,0,200,1,Baba Ka Dhaba,Palam,2014-09-21,2014,9,September,3,38,21,6,Sunday,FQ2,FM6
